03-06 23:19 DEBUG    50000
03-06 23:19 INFO     b''
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 INFO     b''
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 INFO     b''
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 INFO     b''
03-06 23:19 INFO     b''
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 INFO     b''
03-06 23:19 INFO     b''
03-06 23:19 INFO     b''
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 INFO     b''
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 INFO     b'GET http://www.nature.com/index.html HTTP/1.1\r\nHost: www.nature.com\r\nProxy-Connection: keep-alive\r\nCache-Control: max-age=0\r\nAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8\r\nUpgrade-Insecure-Requests: 1\r\nUser-Agent: Mozilla/5.0 (Linux; Android 5.0.1; HTC6525LVW Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.95 Mobile Safari/537.36\r\nAccept-Encoding: gzip, deflate, sdch\r\nAccept-Language: en-US,en;q=0.8\r\nCookie: SaneID=173.205.24.158.1457332628147823; JSESSIONID=1dgn8q40hbde21xcczt5h32y5a; _cb_ls=1; __utma=258326165.1866009849.1457333398.1457333398.1457333398.1; __utmb=258326165.5.10.1457333398; __utmc=258326165; __utmz=258326165.1457333398.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none); _chartbeat2=B-5HRRBeVZP_DVbofV.1457332647176.1457335107079.1; WT_FPC=id=1423ae7f-398e-4bb6-bdd7-8e99de322574:lv=1457345907162:ss=1457343456160\r\n\r\n'
03-06 23:19 INFO     b''
03-06 23:19 INFO     b''
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 INFO     b''
03-06 23:19 INFO     b''
03-06 23:19 INFO     b''
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 INFO     b''
03-06 23:19 INFO     b''
03-06 23:19 INFO     b''
03-06 23:19 INFO     b''
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 INFO     b''
03-06 23:19 INFO     b''
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 INFO     b''
03-06 23:19 INFO     b''
03-06 23:19 INFO     b''
03-06 23:19 INFO     b''
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 INFO     b''
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 INFO     b''
03-06 23:19 INFO     b''
03-06 23:19 INFO     b''
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 WARNING  b'NONE: '
